GCF_003205195.1	Rhizobium wuzhouense
GCF_001894765.1	Rhodococcoides corynebacterioides NBRC 14404
GCF_030813815.1	Rhodococcoides fascians
GCF_900111805.1	Rhodococcoides kroppenstedtii
GCF_900188125.1	Rhodococcoides kyotonense
GCF_014635345.1	Rhodococcoides trifolii
GCF_025722975.1	Rhodococcus aetherivorans
GCF_026153295.1	Rhodococcus antarcticus
GCF_036327795.1	Rhodococcus artemisiae
GCF_040489275.1	Rhodococcus baikonurensis
GCF_033042195.1	Rhodococcus cerastii
GCF_033042225.1	Rhodococcus cercidiphylli
GCF_036327435.1	Rhodococcus chondri
GCF_900478115.1	Rhodococcus coprophilus
GCF_042665615.1	Rhodococcus daqingensis
GCF_000696675.2	Rhodococcus erythropolis R138
GCF_042681175.1	Rhodococcus gannanensis
GCF_019334125.1	Rhodococcus globerulus
GCF_900455725.1	Rhodococcus gordoniae
GCF_047782815.1	Rhodococcus indonesiensis
GCF_900105375.1	Rhodococcus jostii
GCF_017068375.1	Rhodococcus koreensis
GCF_042654025.1	Rhodococcus kronopolitis
GCF_001894865.1	Rhodococcus maanshanensis NBRC 100610
GCF_001894885.1	Rhodococcus marinonascens NBRC 14363
GCF_038069675.1	Rhodococcus navarretei
GCF_039540555.1	Rhodococcus olei
GCF_020542785.1	Rhodococcus opacus PD630
GCF_005049235.1	Rhodococcus oryzae
GCF_003130705.1	Rhodococcus oxybenzonivorans
GCF_046042785.1	Rhodococcus parequi
GCF_001646785.1	Rhodococcus phenolicus
GCF_017068395.1	Rhodococcus pseudokoreensis
GCF_000511305.1	Rhodococcus pyridinivorans SB3094
GCF_015099595.1	Rhodococcus qingshengii
GCF_008011915.1	Rhodococcus rhodnii
GCF_029457455.1	Rhodococcus rhodochrous
GCF_016804345.1	Rhodococcus ruber
GCF_025837095.1	Rhodococcus sacchari
GCF_037327425.1	Rhodococcus sovatensis
GCF_006704125.1	Rhodococcus spelaei
GCF_004011835.1	Rhodococcus spongiicola
GCF_024438035.1	Rhodococcus tibetensis
GCF_014217765.1	Rhodococcus triatomae
GCF_900101735.1	Rhodococcus tukisamuensis
GCF_041228765.1	Rhodococcus wratislaviensis
GCF_004011825.1	Rhodococcus xishaensis
GCF_020515525.1	Rhodococcus yananensis
GCF_001895005.1	Rhodococcus yunnanensis NBRC 103083
GCF_001895025.1	Rhodococcus zopfii NBRC 100606 = JCM 9919
GCF_009646355.1	Rhodocyclus gracilis
GCF_016653115.1	Rhodocyclus purpureus
GCF_009469755.1	Rhodocyclus tenuis
GCF_030503435.1	Rhodocytophaga aerolata
GCF_010119975.1	Rhodocytophaga rosea
GCF_001955735.1	Rhodoferax antarcticus
GCF_006974105.1	Rhodoferax aquaticus
GCF_005876985.1	Rhodoferax bucti
GCF_002017865.1	Rhodoferax fermentans
GCF_000013605.1	Rhodoferax ferrireducens T118
GCF_001955695.1	Rhodoferax koreensis
GCF_003415675.1	Rhodoferax lacus
GCF_019973615.1	Rhodoferax lithotrophicus
GCF_032191775.1	Rhodoferax mekongensis
GCF_032193765.1	Rhodoferax potami
GCF_001955715.1	Rhodoferax saidenbachensis
GCF_006970865.1	Rhodoferax sediminis
GCF_021206925.1	Rhodoflexus caldus
GCF_039527955.1	Rhodoglobus aureus
GCF_006788895.1	Rhodoglobus vestalii
GCF_002834295.1	Rhodohalobacter barkolensis
GCF_001715195.1	Rhodohalobacter halophilus
GCF_003150675.1	Rhodohalobacter mucosus
GCF_022012475.1	Rhodohalobacter sulfatireducens
GCF_007474605.1	Rhodoligotrophos appendicifer
GCF_005281615.1	Rhodoligotrophos defluvii
GCF_038811545.1	Rhodoligotrophos ferricapiens
GCF_000699505.1	Rhodoluna lacicola
GCF_005845365.1	Rhodoluna limnophila
GCF_003992725.1	Rhodomicrobium lacus
GCF_016461795.1	Rhodomicrobium udaipurense
GCF_000166055.1	Rhodomicrobium vannielii ATCC 17100
GCF_900107465.1	Rhodonellum ikkaensis
GCF_000473765.1	Rhodonellum psychrophilum GCM71 = DSM 17998
GCF_003688285.1	Rhodophyticola porphyridii
GCF_002937115.1	Rhodopila globiformis
GCF_002727185.1	Rhodopirellula bahusiensis
GCF_000196115.1	Rhodopirellula baltica SH 1
GCF_000346315.1	Rhodopirellula europaea SH398
GCF_020966775.1	Rhodopirellula halodulae
GCF_001027925.1	Rhodopirellula islandica
GCF_000346295.1	Rhodopirellula maiorica SM1
GCF_000346505.1	Rhodopirellula sallentina SM41
GCF_042682915.1	Rhodoplanes azumiensis
GCF_016653355.1	Rhodoplanes elegans
GCF_003258865.1	Rhodoplanes roseus
GCF_009720755.1	Rhodoplanes serenus
GCF_030813915.1	Rhodoplanes tepidamans
GCF_021184025.1	Rhodopseudomonas boonkerdii
GCF_003217325.1	Rhodopseudomonas faecalis
GCF_022271405.1	Rhodopseudomonas infernalis
GCF_030813515.1	Rhodopseudomonas julia
GCF_016584445.1	Rhodopseudomonas palustris
GCF_900218015.1	Rhodopseudomonas pentothenatexigens
GCF_900110435.1	Rhodopseudomonas pseudopalustris
GCF_014203125.1	Rhodopseudomonas rhenobacensis
GCF_042432815.1	Rhodopseudomonas telluris
GCF_003298775.1	Rhodosalinus halophilus
GCF_003385555.1	Rhodosalinus sediminis
GCF_900101965.1	Rhodospira trueperi
GCF_000016185.1	Rhodospirillum centenum SW
GCF_000013085.1	Rhodospirillum rubrum ATCC 11170
GCF_004341375.1	Rhodothalassium salexigens DSM 2132
GCF_017908595.1	Rhodothermus bifroesti
GCF_000024845.1	Rhodothermus marinus DSM 4252
GCF_900142415.1	Rhodothermus profundi
GCF_004005855.1	Rhodovarius crocodyli
GCF_009900765.1	Rhodovarius lipocyclicus
GCF_937425535.1	Rhodovastum atsumiense
GCF_000515255.1	Rhodovibrio salinarum DSM 9154
GCF_016583645.1	Rhodovibrio sodomensis
GCF_004345735.1	Rhodovulum adriaticum
GCF_004343505.1	Rhodovulum bhavnagarense
GCF_004342445.1	Rhodovulum euryhalinum
GCF_003046545.1	Rhodovulum imhoffii
GCF_041020385.1	Rhodovulum iodosum
GCF_003053725.1	Rhodovulum kholense
GCF_004343075.1	Rhodovulum marinum
GCF_004339675.1	Rhodovulum steppense
GCF_009649175.1	Rhodovulum strictum
GCF_001633165.1	Rhodovulum sulfidophilum DSM 1374
GCF_024128855.1	Rhodovulum tesquicola
GCF_003265965.1	Rhodovulum viride
GCF_004365965.1	Rhodovulum visakhapatnamense
GCF_000350105.1	Richelia intracellularis HH01
GCF_019056575.1	Richelia sinica FACHB-800
GCF_000018205.1	Rickettsia akari str. Hartford
GCF_000828125.2	Rickettsia asembonensis
GCF_007989425.1	Rickettsia asiatica
GCF_000284155.1	Rickettsia australis str. Cutlack
GCF_000012385.1	Rickettsia bellii RML369-C
GCF_000283915.1	Rickettsia canadensis str. CA410
GCF_000007025.1	Rickettsia conorii str. Malish 7
GCF_964030775.1	Rickettsia endosymbiont_of_Aspidapion aeneum
GCF_964026445.1	Rickettsia endosymbiont_of_Cantharis rufa
GCF_015476335.1	Rickettsia endosymbiont_of_Cardiosporidium cionae
GCF_964026565.1	Rickettsia endosymbiont_of_Ceutorhynchus obstrictus
GCF_002259525.1	Rickettsia endosymbiont_of_Culicoides newsteadi
GCF_964026435.1	Rickettsia endosymbiont_of_Gonocerus acuteangulatus
GCF_049278075.1	Rickettsia endosymbiont_of_Halotydeus destructor
GCF_964026455.1	Rickettsia endosymbiont_of_Lasioglossum villosulum
GCF_965196655.1	Rickettsia endosymbiont_of_Nabis limbatus
GCF_936269705.1	Rickettsia endosymbiont_of_Oedothorax gibbosus
GCF_964030945.1	Rickettsia endosymbiont_of_Orchestes rusci
GCF_964291875.1	Rickettsia endosymbiont_of_Pantilius tunicatus
GCF_964026385.1	Rickettsia endosymbiont_of_Polydrusus tereticollis
GCF_964026465.1	Rickettsia endosymbiont_of_Rhinocyllus conicus
GCF_964030815.1	Rickettsia endosymbiont_of_Seladonia tumulorum
GCF_964030725.1	Rickettsia endosymbiont_of_Urophora cardui
GCF_000804505.1	Rickettsia felis
GCF_900243065.1	Rickettsia fournieri
GCF_000485845.1	Rickettsia gravesii BWI-1
GCF_963970025.1	Rickettsia helvetica
GCF_000263055.1	Rickettsia honei RB
GCF_000825685.1	Rickettsia hoogstraalii
GCF_000283595.1	Rickettsia japonica YH
GCF_046532895.1	Rickettsia koreansis
GCF_000499665.2	Rickettsia monacensis
GCF_039954865.1	Rickettsia oklahomensis
GCF_000277165.1	Rickettsia prowazekii str. Chernikova
GCF_000284075.1	Rickettsia rhipicephali str. 3-7-female6-CWPP
GCF_000018225.1	Rickettsia rickettsii str. Sheila Smith
GCF_000166935.1	Rickettsia sibirica 246
GCF_000237845.1	Rickettsia slovaca 13-B
GCF_000751075.1	Rickettsia tamurae
GCF_016743795.2	Rickettsia tillamookensis
GCF_000008045.1	Rickettsia typhi str. Wilmington
GCF_004210275.1	Rickettsiales endosymbiont_of_Peranema trichophorum
GCF_003932735.1	Rickettsiales endosymbiont_of_Stachyamoeba lipophora
GCF_009690945.1	Rickettsiales endosymbiont_of_Trichoplax sp. H2
GCF_964030935.1	Rickettsiella endosymbiont_of_Aleochara curtula
GCF_019285595.1	Rickettsiella endosymbiont_of_Dermanyssus gallinae
GCF_964277335.1	Rickettsiella endosymbiont_of_Litargus connexus
GCF_964031245.1	Rickettsiella endosymbiont_of_Miltochrista miniata
GCF_964031165.1	Rickettsiella endosymbiont_of_Rhagonycha lignosa
GCF_964019545.1	Rickettsiella endosymbiont_of_Xylota segnis
GCF_000168295.1	Rickettsiella grylli
GCF_000257395.1	Rickettsiella massiliensis 20B
GCF_000183155.1	Riemerella anatipestifer ATCC 11845 = DSM 15868
GCF_000374405.1	Riemerella columbina DSM 16469
GCF_900101995.1	Riemerella columbipharyngis
GCF_000427365.1	Rikenella microfusus DSM 15922
GCF_000021805.1	Rippkaea orientalis PCC 8801
GCF_000942395.1	Risungbinella massiliensis
GCF_004217215.1	Rivibacter subsaxonicus
GCF_003201855.1	Rivihabitans pingtungensis
GCF_034047095.1	Robbsia andropogonis
GCF_026624755.1	Robbsia betulipollinis
GCF_004799345.1	Robertkochia marina
GCF_016786255.1	Robertkochia sediminum
GCF_007279655.1	Robertkochia solimangrovi
GCF_042433785.1	Robertmurraya beringensis
GCF_900156875.1	Robertmurraya dakarensis
GCF_001591645.1	Robertmurraya korlensis NBRC 107688
GCF_005116465.1	Robertmurraya kyonggiensis
GCF_034427655.1	Robertmurraya mangrovi
GCF_000311725.1	Robertmurraya massiliosenegalensis JC6
GCF_005502275.1	Robertmurraya siralis
GCF_029537735.1	Robiginitalea aestuariiviva
GCF_030380815.1	Robiginitalea aurantiaca
GCF_000024125.1	Robiginitalea biformata HTCC2501
GCF_024006985.1	Robiginitalea marina
GCF_900115205.1	Robiginitalea myxolifaciens
GCF_002198115.1	Robiginitalea sediminis
GCF_000365025.1	Robiginitomaculum antarcticum DSM 21748
GCF_042680125.1	Robinsoniella peoriensis
GCF_047160125.1	Rodentibacter abscessus
GCF_010587025.1	Rodentibacter caecimuris
GCF_015356115.1	Rodentibacter haemolyticus
GCF_002000125.1	Rodentibacter heidelbergensis
GCF_001998825.1	Rodentibacter mrazii
GCF_001999305.1	Rodentibacter myodis
GCF_000730685.1	Rodentibacter pneumotropicus
GCF_001998965.1	Rodentibacter rarus
GCF_002000485.1	Rodentibacter ratti
GCF_002000545.1	Rodentibacter trehalosifermentans
GCF_007750655.1	Rohdeia mirabilis
GCF_014323405.1	Romboutsia faecis
GCF_900074625.1	Romboutsia hominis
GCF_900015215.1	Romboutsia ilealis
GCF_900103615.1	Romboutsia lituseburensis DSM 797
GCF_002251085.2	Romboutsia maritimum
GCF_030131845.1	Romboutsia sedimentorum
GCF_900106845.1	Romboutsia timonensis
GCF_002250835.2	Romboutsia weinsteinii
GCF_015207035.1	Romeriopsis navalis LEGE 11480
GCF_034043675.1	Roseateles agri
GCF_028595345.1	Roseateles albus
GCF_025398155.2	Roseateles amylovorans
GCF_032337115.1	Roseateles aquae
GCF_002205645.1	Roseateles aquatilis
GCF_004362405.1	Roseateles asaccharophilus
GCF_040187885.1	Roseateles cavernae
GCF_002761755.1	Roseateles chitinivorans
GCF_001483865.1	Roseateles depolymerans
GCF_039872765.1	Roseateles flavus
GCF_026712245.1	Roseateles hydrophilus
GCF_028595305.1	Roseateles koreensis
GCF_036880965.1	Roseateles microcysteis
GCF_050626985.1	Roseateles noduli
GCF_025717515.1	Roseateles oligotrophus
GCF_039872745.1	Roseateles paludis
GCF_002205845.1	Roseateles puraquae
GCF_043555845.1	Roseateles rivi
GCF_004342485.1	Roseateles saccharophilus
GCF_030285365.1	Roseateles subflavus
GCF_014192155.1	Roseateles terrae
GCF_004362525.1	Roseateles toxinivorans
GCF_030410485.1	Roseateles violae
GCF_025567465.1	Roseburia amylophila
GCF_014287625.1	Roseburia difficilis
GCF_015550045.1	Roseburia faecis
GCF_000225345.1	Roseburia hominis A2-183
GCF_900537995.1	Roseburia intestinalis L1-82
GCF_020731525.1	Roseburia inulinivorans DSM 16841
GCF_014287435.1	Roseburia lenta
GCF_009695765.1	Roseburia porci
GCF_014287515.2	Roseburia rectibacter
GCF_014297335.1	Roseburia yibonii
GCF_014287635.1	Roseburia zhanii
GCF_003315135.1	Roseiarcus fermentans
GCF_001517585.1	Roseibaca calidilacus
GCF_016595415.1	Roseibacillus ishigakijimensis
GCF_014651675.1	Roseibacillus persicicus
GCF_008477545.1	Roseibium aestuarii
GCF_000168975.1	Roseibium aggregatum IAM 12614
GCF_001406035.1	Roseibium album
GCF_000158095.2	Roseibium alexandrii DFL-11
GCF_037783265.1	Roseibium algae
GCF_001999245.1	Roseibium algicola
GCF_008711285.1	Roseibium aquae
GCF_900182805.1	Roseibium denhamense
GCF_007830545.1	Roseibium hamelinense
GCF_017313085.1	Roseibium limicola
GCF_014842915.1	Roseibium litorale
GCF_002906165.1	Roseibium marinum
GCF_014842925.1	Roseibium polysiphoniae
GCF_026191725.2	Roseibium porphyridii
GCF_042430625.1	Roseibium salinum
GCF_023156505.1	Roseibium sediminicola
GCF_008711325.1	Roseibium sediminis
GCF_900142725.1	Roseibium suaedae
GCF_020523605.1	Roseicella aerolata
GCF_004343615.1	Roseicella aquatilis
GCF_003258945.1	Roseicella frigidaeris
GCF_014681765.1	Roseicitreum antarcticum
GCF_008312935.1	Roseiconus lacunae
GCF_008629675.1	Roseiconus nitratireducens
GCF_030163755.1	Roseicyclus amphidinii
GCF_000590925.1	Roseicyclus elongatus DSM 19469
GCF_003148775.1	Roseicyclus mahoneyensis
GCF_030163795.1	Roseicyclus marinus
GCF_012395815.1	Roseicyclus persicicus
GCF_029624655.1	Roseicyclus salinarum
GCF_025515305.1	Roseicyclus sediminis
GCF_000017805.1	Roseiflexus castenholzii DSM 13941
GCF_050433125.1	Roseimarinus sediminis
GCF_007741495.1	Roseimaritima multifibrata
GCF_009618275.1	Roseimaritima sediminicola
GCF_008065135.1	Roseimaritima ulvae
GCF_003315205.1	Roseimicrobium gellanilyticum
GCF_028745735.1	Roseinatronobacter alkalisoli
GCF_004366635.1	Roseinatronobacter bogoriensis DSM 18756
GCF_023336755.1	Roseinatronobacter domitianus
GCF_900499075.1	Roseinatronobacter ekhonensis
GCF_006716865.1	Roseinatronobacter monicus
GCF_001870675.1	Roseinatronobacter thiooxidans
GCF_900172355.1	Roseisalinus antarcticus
GCF_030159095.1	Roseisolibacter agri
GCF_004331955.1	Roseitalea porphyridii
GCF_018332375.1	Roseiterribacter gracilis
GCF_016918935.1	Roseitranquillus sediminis
GCF_001592935.1	Roseivirga echinicomitans
GCF_004340805.1	Roseivirga ehrenbergii
GCF_001747105.1	Roseivirga misakiensis
GCF_900111145.1	Roseivirga pacifica
GCF_001267955.1	Roseivirga seohaensis subsp. aquiponti
GCF_034376045.1	Roseivirga spongicola
GCF_014653175.1	Roseivirga thermotolerans
GCF_000521785.1	Roseivivax halodurans JCM 10272
GCF_900115815.1	Roseivivax halotolerans
GCF_000521865.1	Roseivivax isoporae LMG 25204
GCF_900172265.1	Roseivivax jejudonensis
GCF_900156805.1	Roseivivax lentus
GCF_900109705.1	Roseivivax marinus
GCF_900112685.1	Roseivivax sediminis
GCF_018494035.1	Rosenbergiella australiborealis
GCF_018494085.1	Rosenbergiella collisarenosi
GCF_018494055.1	Rosenbergiella epipactidis
GCF_018494065.1	Rosenbergiella gaditana
GCF_022602565.1	Rosenbergiella metrosideri
GCF_900111105.1	Rosenbergiella nectarea
GCF_009811755.1	Roseobacter cerasinus
GCF_002983865.1	Roseobacter denitrificans
GCF_014337925.2	Roseobacter fucihabitans
GCF_019375555.1	Roseobacter insulae
GCF_000154785.2	Roseobacter litoralis Och 149
GCF_012932215.1	Roseobacter ponti
GCF_025755255.1	Roseobacter sinensis
GCF_020622345.1	Roseobacter weihaiensis
GCF_014764365.1	Roseococcus microcysteis
GCF_018413645.1	Roseococcus pinisoli
GCF_014196305.1	Roseococcus suduntuyensis
GCF_017311575.1	Roseococcus thiosulfatophilus
GCF_030068475.1	Roseofilum acuticapitatum BLCC-M154
GCF_030068505.1	Roseofilum capinflatum BLCC-M114
GCF_030068455.1	Roseofilum casamattae BLCC-M143
GCF_030068445.1	Roseofilum halophilum BLCC-M91
GCF_028330985.1	Roseofilum reptotaenium CS-1145
GCF_023223525.1	Roseomonas acroporae
GCF_000711725.1	Roseomonas aerilata DSM 19363
GCF_019430885.1	Roseomonas alba
GCF_049629625.1	Roseomonas chloroacetimidivorans
GCF_020991085.1	Roseomonas cutis
GCF_042433915.1	Roseomonas elaeocarpi
GCF_022846615.1	Roseomonas fluvialis
GCF_001941945.1	Roseomonas gilardii
GCF_017355405.1	Roseomonas haemaphysalidis
GCF_017813365.1	Roseomonas indoligenes
GCF_017654485.1	Roseomonas marmotae
GCF_006384915.1	Roseomonas mucosa
GCF_017813355.1	Roseomonas nitratireducens
GCF_024594815.1	Roseomonas populi
GCF_016106005.1	Roseomonas rosulenta
GCF_043951285.1	Roseomonas xinghualingensis
GCF_014197795.1	Roseospira goensis
GCF_008630015.1	Roseospira marina
GCF_009601025.1	Roseospira navarrensis
GCF_014197915.1	Roseospira visakhapatnamensis
GCF_900100455.1	Roseospirillum parvum
GCF_019966515.1	Roseovarius aestuarii
GCF_004761875.1	Roseovarius aestuariivivens
GCF_900172335.1	Roseovarius albus
GCF_003260265.1	Roseovarius amoyensis
GCF_043661195.1	Roseovarius aquimarinus
GCF_006125015.1	Roseovarius arcticus
GCF_001441615.1	Roseovarius atlanticus
GCF_018069895.1	Roseovarius autotrophicus
GCF_900109455.1	Roseovarius azorensis
GCF_009669325.1	Roseovarius bejariae
GCF_020141465.1	Roseovarius carneus
GCF_041403425.1	Roseovarius conchicola
GCF_002917925.1	Roseovarius confluentis
GCF_003316635.1	Roseovarius dicentrarchi
GCF_009762325.1	Roseovarius faecimaris
GCF_900172365.1	Roseovarius gaetbuli
GCF_011601345.1	Roseovarius gahaiensis
GCF_003634925.1	Roseovarius halotolerans
GCF_008728195.1	Roseovarius indicus
GCF_900142765.1	Roseovarius litoreus
GCF_900172295.1	Roseovarius litorisediminis
GCF_900115165.1	Roseovarius lutimaris
GCF_900142625.1	Roseovarius marisflavi
GCF_043355895.2	Roseovarius maritimus
GCF_000768555.3	Roseovarius mucosus DSM 17069
GCF_900156535.1	Roseovarius nanhaiticus
GCF_002925845.1	Roseovarius nitratireducens
GCF_000152625.1	Roseovarius nubinhibens ISM
GCF_900142665.1	Roseovarius pacificus
GCF_025639885.1	Roseovarius pelagicus
GCF_037023735.1	Roseovarius phycicola
GCF_042430665.1	Roseovarius ramblicola
GCF_032842945.2	Roseovarius rhodophyticola
GCF_043355935.2	Roseovarius roseus
GCF_002834145.1	Roseovarius salinarum
GCF_003651245.1	Roseovarius spongiae
GCF_050896375.1	Roseovarius tibetensis
GCF_028885395.1	Roseovarius tolerans
GCF_036860695.1	Rosettibacter firmus
GCF_036860675.1	Rosettibacter primus
GCF_007753095.1	Rosistilla carotiformis
GCF_007751715.1	Rosistilla oblonga
GCF_007741475.1	Rosistilla ulvae
GCF_001648555.1	Rossellomorea aquimaris TF-12
GCF_904424705.1	Rossellomorea arthrocnemi
GCF_022170785.1	Rossellomorea marisflavi
GCF_045897515.1	Rossellomorea oryzaecorticis
GCF_016908495.1	Rossellomorea pakistanensis
GCF_000723905.1	Rossellomorea vietnamensis
GCF_016726365.1	Rothia aeria
GCF_014635585.1	Rothia aerolata
GCF_014705945.2	Rothia amarae
GCF_000164695.2	Rothia dentocariosa ATCC 17931
GCF_039543885.1	Rothia endophytica
GCF_004136635.1	Rothia halotolerans
GCF_004136575.1	Rothia koreensis
GCF_016028855.1	Rothia kristinae
GCF_000175615.1	Rothia mucilaginosa ATCC 25296
GCF_042660305.1	Rothia nasimurium
GCF_928381405.1	Rothia nasisuis
GCF_024199905.1	Rothia santali
GCF_014705925.2	Rothia terrae
GCF_012933545.1	Rouxiella aceris
GCF_026967515.2	Rouxiella badensis
GCF_000951135.1	Rouxiella chamberiensis
GCF_002093625.1	Rouxiella silvae
GCF_900105765.1	Ruania alba
GCF_000421225.1	Ruania albidiflava DSM 18029
GCF_014960965.1	Ruania alkalisoli
GCF_021049285.1	Ruania halotolerans
GCF_009805705.1	Ruania rhizosphaerae
GCF_021049265.1	Ruania suaedae
GCF_008000995.1	Ruania zhangjianzhongii
GCF_033100135.1	Rubellicoccus peritrichatus
GCF_017872975.1	Rubellimicrobium aerolatum
GCF_017916295.1	Rubellimicrobium arenae
GCF_000600335.2	Rubellimicrobium mesophilum DSM 19309
GCF_006152145.1	Rubellimicrobium roseum
GCF_006152115.1	Rubellimicrobium rubrum
GCF_000442315.1	Rubellimicrobium thermophilum DSM 16684
GCF_001049895.1	Rubeoparvulum massiliense
GCF_000473895.1	Rubidibacter lacunae KORDI 51-2
GCF_000165715.2	Rubinisphaera brasiliensis DSM 5305
GCF_007859715.1	Rubinisphaera italica
GCF_022267515.1	Rubinisphaera margarita
GCF_002899695.1	Rubneribacter badeniensis
GCF_014199445.1	Rubricella aquisinus
GCF_002257665.1	Rubricoccus marinus
GCF_900107585.1	Rubrimonas cliftonensis
GCF_007859865.1	Rubripirellula amarantea
GCF_007741535.1	Rubripirellula lacrimiformis
GCF_008374075.1	Rubripirellula obstinata
GCF_007860175.1	Rubripirellula reticaptiva
GCF_007860125.1	Rubripirellula tenax
GCF_039544995.1	Rubritalea halochordaticola
GCF_000378105.1	Rubritalea marina DSM 17716
GCF_002954445.1	Rubritalea profundi
GCF_042652385.1	Rubritalea spongiae
GCF_900141815.1	Rubritalea squalenifaciens DSM 18772
GCF_042683245.1	Rubritalea tangerina
GCF_000425365.1	Rubritepida flocculans DSM 14296
GCF_031846415.1	Rubrivirga litoralis
GCF_002283365.1	Rubrivirga marina
GCF_004016515.1	Rubrivivax albus
GCF_000420125.1	Rubrivivax benzoatilyticus JA2 = ATCC BAA-35
GCF_047946925.1	Rubrivivax gelatinosus
GCF_004016505.1	Rubrivivax rivuli
GCF_001029505.1	Rubrobacter aplysinae
GCF_028617075.1	Rubrobacter calidifluminis
GCF_003568865.1	Rubrobacter indicoceani
GCF_011492965.1	Rubrobacter marinus
GCF_028617085.1	Rubrobacter naiadicus
GCF_900175965.1	Rubrobacter radiotolerans DSM 5868
GCF_004337705.1	Rubrobacter taiwanensis
GCF_011492945.1	Rubrobacter tropicus
GCF_000014185.1	Rubrobacter xylanophilus DSM 9941
GCF_047272945.1	Rubrolithibacter danxiaensis
GCF_014982785.1	Ructibacterium gallinarum
GCF_000378125.1	Rudaea cellulosilytica DSM 22992
GCF_007829035.1	Rudaeicoccus suwonensis
GCF_000383955.1	Rudanella lutea DSM 19387
GCF_009184635.1	Rudanella paleaurantiibacter
GCF_022321465.1	Ruegeria alba
GCF_025751555.1	Ruegeria aquimaris
GCF_013032855.1	Ruegeria arenilitoris
GCF_001458195.1	Ruegeria atlantica
GCF_000192475.1	Ruegeria conchae
GCF_001458295.1	Ruegeria denitrificans
GCF_900182615.1	Ruegeria faecimaris
GCF_013377785.1	Ruegeria haliotis
GCF_900106805.1	Ruegeria halocynthiae
GCF_900129345.1	Ruegeria intermedia
GCF_013034745.1	Ruegeria lacuscaerulensis
GCF_900101475.1	Ruegeria marina
GCF_025673445.1	Ruegeria marisflavi
GCF_001507595.1	Ruegeria marisrubri
GCF_042768335.1	Ruegeria meonggei
GCF_000011965.2	Ruegeria pomeroyi DSS-3
GCF_020171505.1	Ruegeria profundi
GCF_005938215.1	Ruegeria sediminis
GCF_023502395.1	Ruegeria spongiae
GCF_017916345.1	Rufibacter aurantiacus
GCF_008271745.1	Rufibacter glacialis
GCF_008271695.1	Rufibacter hautae
GCF_003721565.1	Rufibacter immobilis
GCF_003721515.1	Rufibacter latericius
GCF_016924645.1	Rufibacter psychrotolerans
GCF_014138425.1	Rufibacter quisquiliarum
GCF_001078055.1	Rufibacter radiotolerans
GCF_017916365.1	Rufibacter roseolus
GCF_042662225.1	Rufibacter roseus
GCF_001647275.1	Rufibacter ruber
GCF_024436355.1	Rufibacter sediminis
GCF_001310085.1	Rufibacter tibetensis
GCF_014230085.1	Ruficoccus amylovorans
GCF_014042355.1	Rugamonas apoptosis
GCF_009380215.1	Rugamonas aquatica
GCF_014042345.1	Rugamonas brunnea
GCF_014042365.1	Rugamonas fusca
