GCF_014879975.1	Vibrio bathopelagicus
GCF_002218045.2	Vibrio rumoiensis
GCF_007990935.1	Vibrio sagamiensis NBRC 104589
GCF_002811245.1	Vibrio salilacus
GCF_021272385.1	Vibrio salinus
GCF_050337435.1	Vibrio satsumensis
GCF_040869025.1	Vibrio scophthalmi
GCF_042430465.1	Vibrio sinaloensis
GCF_003605645.1	Vibrio sinensis
GCF_023634645.1	Vibrio sinus
GCF_001854765.1	Vibrio sonorensis
GCF_024347135.1	Vibrio spartinae
GCF_022812045.1	Vibrio splendidus
GCF_921293875.1	Vibrio stylophorae
GCF_003569005.1	Vibrio superstes
GCF_002119525.1	Vibrio syngnathi
GCF_009938185.1	Vibrio taketomensis
GCF_030409945.1	Vibrio tapetis subsp. quintayensis
GCF_003311805.1	Vibrio tarriae
GCF_024347635.1	Vibrio tasmaniensis
GCF_003350295.1	Vibrio tetraodonis
GCF_900089835.1	Vibrio thalassae
GCF_024347655.1	Vibrio toranzoniae
GCF_001547935.1	Vibrio tritonius
GCF_000772105.1	Vibrio tubiashii ATCC 19109
GCF_016900875.1	Vibrio ulleungensis
GCF_003263785.1	Vibrio variabilis
GCF_003856525.1	Vibrio viridaestus
GCF_002224265.1	Vibrio vulnificus NBRC 15645 = ATCC 27562
GCF_050337275.1	Vibrio wakamikoensis
GCF_900100015.1	Vibrio xiamenensis
GCF_030161235.1	Vibrio zhanjiangensis
GCF_003716875.1	Vibrio zhugei
GCF_011064285.1	Vibrio ziniensis
GCF_007993035.1	Vicingus serpentipes
GCF_009695545.1	Victivallis lenta
GCF_003096415.1	Victivallis vadensis
GCF_008039615.1	Vineibacter terrae
GCF_017874635.1	Virgibacillus alimentarius
GCF_042675965.1	Virgibacillus byunsanensis
GCF_900129865.1	Virgibacillus chiguensis
GCF_900155625.1	Virgibacillus dakarensis
GCF_002849835.1	Virgibacillus dokdonensis
GCF_902806455.1	Virgibacillus doumboii
GCF_050574275.1	Virgibacillus flavescens
GCF_001878675.1	Virgibacillus halodenitrificans
GCF_016908515.1	Virgibacillus halotolerans
GCF_902726655.1	Virgibacillus ihumii
GCF_002266285.1	Virgibacillus indicus
GCF_014647615.1	Virgibacillus kapii
GCF_042654125.1	Virgibacillus kekensis
GCF_017873675.1	Virgibacillus litoralis
GCF_000723585.1	Virgibacillus massiliensis
GCF_026013645.1	Virgibacillus natechei
GCF_900187325.1	Virgibacillus ndiopensis
GCF_002224365.1	Virgibacillus necropolis
GCF_014638995.1	Virgibacillus oceani
GCF_018075365.1	Virgibacillus pantothenticus
GCF_002216775.1	Virgibacillus phasianinus
GCF_002287375.1	Virgibacillus profundi
GCF_900162615.1	Virgibacillus proomii
GCF_039521925.1	Virgibacillus salarius
GCF_014905415.1	Virgibacillus salexigens
GCF_021560035.1	Virgibacillus salidurans
GCF_019837165.1	Virgibacillus saliphilus
GCF_042643265.1	Virgibacillus sediminis
GCF_000821245.2	Virgibacillus senegalensis
GCF_039522605.1	Virgibacillus siamensis
GCF_900110695.1	Virgibacillus subterraneus
GCF_036026595.1	Virgibacillus tibetensis
GCF_042643145.1	Virgibacillus xinjiangensis
GCF_003576685.1	Virgifigura deserti
GCF_016863615.1	Virgisporangium aliadipatigenens
GCF_016863635.1	Virgisporangium aurantiacum
GCF_016863655.1	Virgisporangium ochraceum
GCF_001955655.1	Viridibacillus arenosi
GCF_001274945.1	Viridibacillus arvi
GCF_016612995.1	Viridibacillus soli
GCF_039544165.1	Viridibacterium curvum
GCF_004634425.1	Vitreimonas flagellata
GCF_002222655.1	Vitreoscilla filiformis
GCF_001457815.1	Vitreoscilla massiliensis
GCF_022870945.1	Vitreoscilla stercoraria
GCF_014652475.1	Vogesella alkaliphila
GCF_042648905.1	Vogesella amnigena
GCF_028548455.1	Vogesella aquatica
GCF_042648525.1	Vogesella facilis
GCF_014652335.1	Vogesella fluminis
GCF_003633895.1	Vogesella indigofera
GCF_028548475.1	Vogesella margarita
GCF_007644035.1	Vogesella mureinivorans
GCF_902829295.1	Vogesella oryzae
GCF_040148885.1	Vogesella oryzagri
GCF_007644045.2	Vogesella urethralis
GCF_029783845.1	Volucribacter amazonae
GCF_004339025.1	Volucribacter psittacicida
GCF_033842765.1	Vreelandella alkaliphila
GCF_003989795.1	Vreelandella andesensis
GCF_006540125.1	Vreelandella aquamarina
GCF_900103865.1	Vreelandella arcis
GCF_037070215.1	Vreelandella arctica
GCF_013112225.1	Vreelandella azerica
GCF_000236035.1	Vreelandella boliviensis LC1
GCF_013415125.1	Vreelandella glaciei
GCF_031451645.1	Vreelandella gomseomensis
GCF_019903425.1	Vreelandella halophila
GCF_014651775.1	Vreelandella hamiltonii
GCF_037070225.1	Vreelandella indica
GCF_031451615.1	Vreelandella janggokensis
GCF_000334215.1	Vreelandella jeotgali Hwa
GCF_044543515.1	Vreelandella lionensis
GCF_014640815.1	Vreelandella lutescens
GCF_042651245.1	Vreelandella malpeensis
GCF_013371085.1	Vreelandella maris
GCF_900155385.1	Vreelandella massiliensis
GCF_003990185.1	Vreelandella nanhaiensis
GCF_034479615.1	Vreelandella neptunia
GCF_002374315.1	Vreelandella nigrificans
GCF_012427705.1	Vreelandella piezotolerans
GCF_003989825.1	Vreelandella populi
GCF_019722725.1	Vreelandella profundi
GCF_003336665.1	Vreelandella rituensis
GCF_013415105.1	Vreelandella salicampi
GCF_013416325.1	Vreelandella sedimenti
GCF_003002925.1	Vreelandella songnenensis
GCF_043585715.1	Vreelandella stevensii
GCF_900142895.1	Vreelandella subglaciescola
GCF_900111305.1	Vreelandella subterranea
GCF_003298795.1	Vreelandella sulfidaeris
GCF_014697095.1	Vreelandella titanicae
GCF_015689495.1	Vreelandella venusta
GCF_031451755.1	Vreelandella vilamensis
GCF_000377665.1	Vreelandella zhanjiangensis DSM 21076
GCF_013415115.1	Vreelandella zhaodongensis
GCF_009793355.1	Vreelandella zhuhanensis
GCF_001730235.1	Vulcanibacillus modesticaldus
GCF_008033445.1	Vulcaniibacterium gelatinicum
GCF_003814555.1	Vulcaniibacterium tengchongense
GCF_007923255.1	Vulcaniibacterium thermophilum
GCF_027923555.1	Vulcanimicrobium alpinum
GCF_002252705.1	Vulcanococcus limneticus LL
GCF_001263175.1	Vulgatibacter incomptus
GCF_000092785.1	Waddlia chondrophila WSU 86-1044
GCF_025567015.1	Waltera acetigignens
GCF_009695995.1	Waltera intestinalis
GCF_039523435.1	Wandonia haliotis
GCF_014337215.1	Wansuia hejianensis
GCF_020640915.1	Waterburya agarophytonicola KI4
GCF_900637795.1	Weeksella virosa
GCF_900094835.1	Weissella bombi
GCF_018394055.1	Weissella ceti
GCF_001951095.1	Weissella cibaria
GCF_011304355.1	Weissella coleopterorum
GCF_004771075.1	Weissella confusa
GCF_014397255.1	Weissella diestrammenae
GCF_024718545.1	Weissella fangxianensis
GCF_025908565.2	Weissella fermenti
GCF_000420365.1	Weissella halotolerans DSM 20190
GCF_012396435.1	Weissella hellenica
GCF_001932615.1	Weissella jogaejeotgali
GCF_001438705.1	Weissella kandleri
GCF_000219805.1	Weissella koreensis KACC 15510
GCF_001437425.1	Weissella minor
GCF_008107635.1	Weissella muntiaci
GCF_000691805.2	Weissella oryzae SG25
GCF_036327715.1	Weissella paramesenteroides
GCF_010306265.1	Weissella sagaensis
GCF_001761545.1	Weissella soli
GCF_005405465.1	Weissella thailandensis
GCF_018502505.1	Weissella tructae
GCF_016908785.1	Weissella uvarum
GCF_014789145.1	Weissella viridescens
GCF_008974225.1	Weizmannia acidilactici
GCF_943193165.1	Weizmannia agrestimuris
GCF_014646055.1	Wenjunlia tyrosinilytica
GCF_000380165.1	Wenjunlia vitaminophila DSM 41686
GCF_014645075.1	Wenxinia marina
GCF_900141735.1	Wenxinia saemankumensis
GCF_011927765.1	Wenyingzhuangia aestuarii
GCF_001697185.1	Wenyingzhuangia fucanilytica
GCF_030519655.1	Wenyingzhuangia gilva
GCF_011762155.1	Wenyingzhuangia heitensis
GCF_900130035.1	Wenyingzhuangia marina
GCF_010499265.1	Wenzhouxiangella limi
GCF_001187785.1	Wenzhouxiangella marina
GCF_003410055.1	Wenzhouxiangella sediminis
GCF_022354465.1	Wielerella bovis
GCF_000247565.1	Wigglesworthia glossinidia endosymbiont_of_Glossina morsitans morsitans (Yale colony)
GCF_024171765.1	Williamsia deligens
GCF_036153515.1	Williamsia herbipolensis
GCF_003217475.1	Williamsia limnetica
GCF_024171815.1	Williamsia maris
GCF_003634525.1	Williamsia muralis
GCF_014635305.1	Williamsia phyllosphaerae
GCF_039530165.1	Williamsia serinedens
GCF_017377795.1	Williamsia soli
GCF_900156495.1	Williamsia sterculiae
GCF_000518285.1	Williamsoniiplasma lucivorax ATCC 49196
GCF_002803985.1	Williamsoniiplasma luminosum
GCF_002804005.1	Williamsoniiplasma somnilux
GCF_900096565.1	Williamwhitmania taraxaci
GCF_000420405.1	Winkia neuii subsp. neuii DSM 8576
GCF_018332715.1	Winogradskya consettensis
GCF_016862215.1	Winogradskya humida
GCF_020166335.1	Winogradskyella alexanderae
GCF_005869935.1	Winogradskyella algicola
GCF_034086145.1	Winogradskyella aquimaris
GCF_003337305.1	Winogradskyella arenosi
GCF_002266855.1	Winogradskyella aurantia
GCF_003362725.1	Winogradskyella aurantiaca
GCF_030407435.1	Winogradskyella bathintestinalis
GCF_013403865.1	Winogradskyella costae
GCF_039538385.1	Winogradskyella damuponensis
GCF_014297365.1	Winogradskyella echinorum
GCF_013249045.1	Winogradskyella eckloniae
GCF_009741275.1	Winogradskyella endarachnes
GCF_003217215.1	Winogradskyella epiphytica
GCF_003386165.1	Winogradskyella eximia
GCF_014243395.1	Winogradskyella flava
GCF_013394595.1	Winogradskyella forsetii
GCF_014635865.1	Winogradskyella haliclonae
GCF_013404085.1	Winogradskyella helgolandensis
GCF_020667915.1	Winogradskyella immobilis
GCF_900129745.1	Winogradskyella jejuensis
GCF_042675765.1	Winogradskyella litorisediminis
GCF_013249065.1	Winogradskyella litoriviva
GCF_013403985.1	Winogradskyella ludwigii
GCF_019203985.1	Winogradskyella luteola
GCF_015645385.1	Winogradskyella marina
GCF_029624125.1	Winogradskyella marincola
GCF_042650215.1	Winogradskyella maritima
GCF_009709615.1	Winogradskyella ouciana
GCF_003386275.1	Winogradskyella pacifica
GCF_017581965.1	Winogradskyella pelagia
GCF_036553625.1	Winogradskyella poriferorum
GCF_000427335.1	Winogradskyella psychrotolerans RS-3
GCF_042434315.1	Winogradskyella pulchriflava
GCF_042675845.1	Winogradskyella rapida
GCF_013394655.1	Winogradskyella schleiferi
GCF_900105425.1	Winogradskyella sediminis
GCF_003260205.1	Winogradskyella tangerina
GCF_900099995.1	Winogradskyella thalassocola
GCF_013285155.1	Winogradskyella undariae
GCF_013403975.1	Winogradskyella ursingii
GCF_013403955.1	Winogradskyella vidalii
GCF_020166345.1	Winogradskyella vincentii
GCF_004346845.1	Winogradskyella wandonensis
GCF_013403925.1	Winogradskyella wichelsiae
GCF_025527015.1	Winslowiella arboricola
GCF_001267535.1	Winslowiella iniecta
GCF_032164335.1	Winslowiella toletana
GCF_021728535.1	Wocania arenilitoris
GCF_000789235.1	Wocania ichthyoenteri Th78
GCF_001677435.1	Woeseia oceani
GCF_002252325.1	Wohlfahrtiimonas chitiniclastica
GCF_039543665.1	Wohlfahrtiimonas larvae
GCF_002006795.1	Wohlfahrtiimonas populi
GCF_947250015.1	Wolbachia endosymbiont (group A) of Acrocera orbiculus
GCF_964026805.1	Wolbachia endosymbiont (group A) of Agelastica alni
GCF_964028465.1	Wolbachia endosymbiont (group A) of Aleiodes leptofemur
GCF_964028505.1	Wolbachia endosymbiont (group A) of Alloplasta piceator
GCF_947250785.1	Wolbachia endosymbiont (group A) of Ancistrocerus nigricornis
GCF_964026715.1	Wolbachia endosymbiont (group A) of Andrena bucephala
GCF_964027085.1	Wolbachia endosymbiont (group A) of Andrena carantonica
GCF_947251765.1	Wolbachia endosymbiont (group A) of Andrena dorsata
GCF_964026815.1	Wolbachia endosymbiont (group A) of Andrena fulva
GCF_947250565.1	Wolbachia endosymbiont (group A) of Andrena haemorrhoa
GCF_947179565.1	Wolbachia endosymbiont (group A) of Andrena hattorfiana
GCF_964028415.1	Wolbachia endosymbiont (group A) of Andrena helvola
GCF_964028445.1	Wolbachia endosymbiont (group A) of Andrena trimmerana
GCF_947251545.1	Wolbachia endosymbiont (group A) of Anomoia purmunda
GCF_947251795.1	Wolbachia endosymbiont (group A) of Anoplius nigerrimus
GCF_964028115.1	Wolbachia endosymbiont (group A) of Anthophora plumipes
GCF_947251615.1	Wolbachia endosymbiont (group A) of Apoderus coryli
GCF_964277365.1	Wolbachia endosymbiont (group A) of Aporus unicolor
GCF_964027025.1	Wolbachia endosymbiont (group A) of Apotomis capreana
GCF_964030885.1	Wolbachia endosymbiont (group A) of Barypeithes pellucidus
GCF_964028185.1	Wolbachia endosymbiont (group A) of Beris morrisii
GCF_947251645.1	Wolbachia endosymbiont (group A) of Bibio marci
GCF_947251895.1	Wolbachia endosymbiont (group A) of Bombylius major
GCF_964026995.1	Wolbachia endosymbiont (group A) of Brachyopa scutellaris
GCF_947251935.1	Wolbachia endosymbiont (group A) of Calamotropha paludella
GCF_964026755.1	Wolbachia endosymbiont (group A) of Campoletis raptor
GCF_964026895.1	Wolbachia endosymbiont (group A) of Cephus spinipes
GCF_964031185.1	Wolbachia endosymbiont (group A) of Cerceris ruficornis
GCF_964026765.1	Wolbachia endosymbiont (group A) of Chalcis sispes
GCF_947250625.1	Wolbachia endosymbiont (group A) of Cheilosia soror
GCF_964026865.1	Wolbachia endosymbiont (group A) of Clivina fossor
GCF_964264715.1	Wolbachia endosymbiont (group A) of Colletes cunicularius
GCF_964027015.1	Wolbachia endosymbiont (group A) of Conops quadrifasciatus
GCF_947251955.1	Wolbachia endosymbiont (group A) of Coremacera marginata
GCF_964028475.1	Wolbachia endosymbiont (group A) of Crataerina pallida
GCF_964028495.1	Wolbachia endosymbiont (group A) of Cydia amplana
GCF_947179475.1	Wolbachia endosymbiont (group A) of Cydia splendana
GCF_964026745.1	Wolbachia endosymbiont (group A) of Cydia strobilella
GCF_964026835.1	Wolbachia endosymbiont (group A) of Dendrolimus pini
GCF_947251695.1	Wolbachia endosymbiont (group A) of Ectemnius continuus
GCF_947250805.1	Wolbachia endosymbiont (group A) of Endotricha flammealis
GCF_964028535.1	Wolbachia endosymbiont (group A) of Ennomos erosarius
GCF_947251775.1	Wolbachia endosymbiont (group A) of Epagoge grotiana
GCF_947251475.1	Wolbachia endosymbiont (group A) of Epirrhoe alternata
GCF_947251435.1	Wolbachia endosymbiont (group A) of Epistrophe grossularia
GCF_964026915.1	Wolbachia endosymbiont (group A) of Eristalinus aeneus
GCF_947251595.1	Wolbachia endosymbiont (group A) of Eupithecia tripunctaria
GCF_964028265.1	Wolbachia endosymbiont (group A) of Gastracanthus pulcherrimus
GCF_947250765.1	Wolbachia endosymbiont (group A) of Gymnosoma rotundatum
GCF_964028325.1	Wolbachia endosymbiont (group A) of Hedychridium roseum
GCF_947251915.1	Wolbachia endosymbiont (group A) of Hylaeus communis
GCF_947251635.1	Wolbachia endosymbiont (group A) of Icerya purchasi
GCF_964026985.1	Wolbachia endosymbiont (group A) of Ischnus inquisitorius
GCF_964028605.1	Wolbachia endosymbiont (group A) of Lasioglossum fulvicorne
GCF_947251945.1	Wolbachia endosymbiont (group A) of Lasioglossum lativentre
GCF_947179405.1	Wolbachia endosymbiont (group A) of Lasioglossum malachurum
GCF_947250585.1	Wolbachia endosymbiont (group A) of Lasioglossum morio
GCF_964026955.1	Wolbachia endosymbiont (group A) of Lasioglossum villosulum
GCF_964263225.1	Wolbachia endosymbiont (group A) of Limnophora tigrina
GCF_963931955.1	Wolbachia endosymbiont (group A) of Longitarsus flavicornis
GCF_964028575.1	Wolbachia endosymbiont (group A) of Lypha dubia
GCF_964027095.1	Wolbachia endosymbiont (group A) of Machimus atricapillus
GCF_947251555.1	Wolbachia endosymbiont (group A) of Macropis europaea
GCF_964031125.1	Wolbachia endosymbiont (group A) of Melieria omissa
GCF_964273365.1	Wolbachia endosymbiont (group A) of Melitta haemorrhoidalis
GCF_947251675.1	Wolbachia endosymbiont (group A) of Merzomyia westermanni
GCF_964031025.1	Wolbachia endosymbiont (group A) of Microdon myrmicae
GCF_964027115.1	Wolbachia endosymbiont (group A) of Myopa testacea
GCF_947250795.1	Wolbachia endosymbiont (group A) of Nomada fabriciana
GCF_964027105.1	Wolbachia endosymbiont (group A) of Nomada ferruginata
GCF_964027055.1	Wolbachia endosymbiont (group A) of Nomada flava
GCF_964028175.1	Wolbachia endosymbiont (group A) of Nomada fucata
GCF_964026705.1	Wolbachia endosymbiont (group A) of Nomada goodeniana
GCF_963966195.1	Wolbachia endosymbiont (group A) of Nomada hirtipes
GCF_964277465.1	Wolbachia endosymbiont (group A) of Nomada rufipes
GCF_964273535.1	Wolbachia endosymbiont (group A) of Norellia spinipes
GCF_963969245.1	Wolbachia endosymbiont (group A) of Ophion costatus
GCF_964019365.1	Wolbachia endosymbiont (group A) of Ophion ellenae
GCF_964264765.1	Wolbachia endosymbiont (group A) of Opomyza germinationis
GCF_964027005.1	Wolbachia endosymbiont (group A) of Oxytorus armatus
GCF_964028485.1	Wolbachia endosymbiont (group A) of Paraperithous gnathaulax
GCF_947250505.1	Wolbachia endosymbiont (group A) of Phalera bucephala
GCF_964028125.1	Wolbachia endosymbiont (group A) of Phasia obesa
GCF_947251565.1	Wolbachia endosymbiont (group A) of Pheosia gnoma
GCF_964026875.1	Wolbachia endosymbiont (group A) of Pherbina coryleti
GCF_964028305.1	Wolbachia endosymbiont (group A) of Philanthus triangulum
GCF_947251755.1	Wolbachia endosymbiont (group A) of Philonthus cognatus
GCF_964028555.1	Wolbachia endosymbiont (group A) of Pipizella viduata
GCF_947179415.1	Wolbachia endosymbiont (group A) of Platycheirus albimanus
GCF_964028245.1	Wolbachia endosymbiont (group A) of Pogonocherus hispidulus
GCF_964028525.1	Wolbachia endosymbiont (group A) of Portevinia maculata
GCF_947251425.1	Wolbachia endosymbiont (group A) of Protocalliphora azurea
GCF_947250775.1	Wolbachia endosymbiont (group A) of Rhinocyllus conicus
GCF_964028425.1	Wolbachia endosymbiont (group A) of Rhorus exstirpatorius
GCF_947251485.1	Wolbachia endosymbiont (group A) of Scambus nigricans
GCF_964031055.1	Wolbachia endosymbiont (group A) of Schoenobius gigantella
GCF_964030675.1	Wolbachia endosymbiont (group A) of Scoparia ambigualis
GCF_947251515.1	Wolbachia endosymbiont (group A) of Sicus ferrugineus
GCF_947250735.1	Wolbachia endosymbiont (group A) of Sphaerophoria taeniata
GCF_947179545.1	Wolbachia endosymbiont (group A) of Sphecodes ephippius
GCF_947251965.1	Wolbachia endosymbiont (group A) of Sphecodes monilicornis
GCF_964030905.1	Wolbachia endosymbiont (group A) of Sturmia bella
GCF_947250715.1	Wolbachia endosymbiont (group A) of Sympetrum striolatum
GCF_964277345.1	Wolbachia endosymbiont (group A) of Therophilus tumidulus
GCF_947251725.1	Wolbachia endosymbiont (group A) of Tiphia femorata
GCF_964028565.1	Wolbachia endosymbiont (group A) of Tromatobia lineatoria
GCF_947251665.1	Wolbachia endosymbiont (group A) of Trypoxylon clavicerum
GCF_964028365.1	Wolbachia endosymbiont (group A) of Udea olivalis
GCF_964028435.1	Wolbachia endosymbiont (group A) of Urophora cardui
GCF_964026965.1	Wolbachia endosymbiont (group A) of Volucella bombylans
GCF_947179175.1	Wolbachia endosymbiont (group A) of Volucella inflata
GCF_947251575.1	Wolbachia endosymbiont (group A) of Yponomeuta plumbellus
GCF_964277395.1	Wolbachia endosymbiont (group B) of Ablattaria laevigata
GCF_964028545.1	Wolbachia endosymbiont (group B) of Agriphila inquinatella
GCF_947250755.1	Wolbachia endosymbiont (group B) of Agriphila straminella
GCF_947179465.1	Wolbachia endosymbiont (group B) of Agriphila tristella
GCF_964026845.1	Wolbachia endosymbiont (group B) of Agrotis exclamationis
GCF_964028455.1	Wolbachia endosymbiont (group B) of Agrotis puta
GCF_964028275.1	Wolbachia endosymbiont (group B) of Alcis repandata
GCF_964030705.1	Wolbachia endosymbiont (group B) of Anania hortulata
GCF_964028375.1	Wolbachia endosymbiont (group B) of Apomyelois bistriatella
GCF_947250485.1	Wolbachia endosymbiont (group B) of Aporia crataegi
GCF_947250475.1	Wolbachia endosymbiont (group B) of Apotomis betuletana
GCF_947251835.1	Wolbachia endosymbiont (group B) of Apotomis turbidana
GCF_947250705.1	Wolbachia endosymbiont (group B) of Archips podanus
GCF_947179385.1	Wolbachia endosymbiont (group B) of Aricia agestis
GCF_964026975.1	Wolbachia endosymbiont (group B) of Aricia artaxerxes
GCF_947251845.1	Wolbachia endosymbiont (group B) of Athalia cordata
GCF_947250595.1	Wolbachia endosymbiont (group B) of Campaea margaritaria
GCF_947251825.1	Wolbachia endosymbiont (group B) of Camptogramma bilineatum
GCF_947179375.1	Wolbachia endosymbiont (group B) of Carcina quercana
GCF_947250515.1	Wolbachia endosymbiont (group B) of Catoptria pinella
GCF_947251805.1	Wolbachia endosymbiont (group B) of Celastrina argiolus
GCF_964026945.1	Wolbachia endosymbiont (group B) of Chesias legatella
GCF_947179555.1	Wolbachia endosymbiont (group B) of Chorthippus brunneus
GCF_947251815.1	Wolbachia endosymbiont (group B) of Chorthippus parallelus
GCF_947250525.1	Wolbachia endosymbiont (group B) of Colias croceus
GCF_964028235.1	Wolbachia endosymbiont (group B) of Cyclophora punctaria
GCF_964026695.1	Wolbachia endosymbiont (group B) of Dendrolimus pini
GCF_947179505.1	Wolbachia endosymbiont (group B) of Dolichovespula media
GCF_964026825.1	Wolbachia endosymbiont (group B) of Elophila nymphaeata
GCF_947251605.1	Wolbachia endosymbiont (group B) of Emmelina monodactyla
GCF_947251735.1	Wolbachia endosymbiont (group B) of Endotricha flammealis
GCF_964026905.1	Wolbachia endosymbiont (group B) of Ennomos erosarius
GCF_947250575.1	Wolbachia endosymbiont (group B) of Episyrphus balteatus
GCF_947179575.1	Wolbachia endosymbiont (group B) of Erebia ligea
GCF_947250545.1	Wolbachia endosymbiont (group B) of Erynnis tages
GCF_947250645.1	Wolbachia endosymbiont (group B) of Eucosma cana
GCF_947250695.1	Wolbachia endosymbiont (group B) of Eupeodes latifasciatus
GCF_947250535.1	Wolbachia endosymbiont (group B) of Euphydryas aurinia
GCF_964030915.1	Wolbachia endosymbiont (group B) of Eupithecia inturbata
GCF_964028595.1	Wolbachia endosymbiont (group B) of Falcaria lacertinaria
